iter	Passed	Remaining
830	4133	840
831	4138	835
832	4143	830
833	4147	825
834	4152	820
835	4158	815
836	4162	810
837	4167	805
838	4171	800
839	4177	795
840	4182	790
841	4186	785
842	4191	780
843	4196	775
844	4200	770
845	4205	765
846	4209	760
847	4213	755
848	4218	750
849	4222	745
850	4227	740
851	4231	735
852	4236	730
853	4241	725
854	4246	720
855	4251	715
856	4256	710
857	4260	705
858	4265	700
859	4269	695
860	4274	690
861	4278	685
862	4283	680
863	4288	675
864	4293	670
865	4298	665
866	4303	660
867	4308	655
868	4312	650
869	4317	645
870	4322	640
871	4327	635
872	4331	630
873	4335	625
874	4340	620
875	4344	615
876	4349	609
877	4353	604
878	4359	600
879	4364	595
880	4369	590
881	4373	585
882	4379	580
883	4384	575
884	4389	570
885	4394	565
886	4399	560
887	4404	555
888	4409	550
889	4414	545
890	4419	540
891	4424	535
892	4429	530
893	4433	525
894	4438	520
895	4442	515
896	4447	510
897	4452	505
898	4456	500
899	4461	495
900	4466	490
901	4471	485
902	4475	480
903	4480	475
904	4484	470
905	4489	465
906	4494	460
907	4498	455
908	4503	450
909	4507	445
910	4512	440
911	4516	435
912	4521	430
913	4526	425
914	4530	420
915	4535	415
916	4539	410
917	4544	405
918	4548	400
919	4553	395
920	4558	390
921	4562	385
922	4567	380
923	4571	375
924	4576	371
925	4581	366
926	4586	361
927	4591	356
928	4595	351
929	4600	346
930	4605	341
931	4610	336
932	4615	331
933	4621	326
934	4626	321
935	4630	316
936	4635	311
937	4640	306
938	4645	301
939	4649	296
940	4654	291
941	4659	286
942	4664	281
943	4668	276
944	4672	271
945	4677	266
946	4681	262
947	4686	257
948	4691	252
949	4695	247
950	4699	242
951	4704	237
952	4708	232
953	4713	227
954	4718	222
955	4722	217
956	4727	212
957	4732	207
958	4737	202
959	4741	197
960	4746	192
961	4751	187
962	4755	182
963	4760	177
964	4764	172
965	4769	167
966	4774	162
967	4778	157
968	4783	153
969	4788	148
970	4793	143
971	4797	138
972	4802	133
973	4807	128
974	4811	123
975	4816	118
976	4821	113
977	4826	108
978	4831	103
979	4836	98
980	4841	93
981	4846	88
982	4852	83
983	4857	78
984	4862	74
985	4867	69
986	4871	64
987	4876	59
988	4881	54
989	4886	49
990	4891	44
991	4897	39
992	4901	34
993	4906	29
994	4911	24
995	4915	19
996	4920	14
997	4924	9
998	4929	4
999	4934	0
