,total_price,avg_product_price,total_freight_cost,num_items_ordered,total_payment_value,payment_installments,avg_review_score,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_lat,customer_lng,seller_lat,seller_lng,total_order_value,order_purchase_year,order_purchase_month,order_purchase_week,order_purchase_day,order_purchase_quarter,order_purchase_weekday,order_purchase_hour,product_volume_cm3,product_density_g_cm3,total_weight_g,total_volume_cm3,spatial_dist,delivery_time,delivery_delay,customer_lifetime_value,number_of_orders,revenue_per_customer,revenue_per_seller,product_popularity,monthly_revenue,weekly_revenue
product_weight_g,0.3315064187716832,0.34210431123497637,0.5010087553911314,-0.005897336628447442,0.36600250554349717,0.19724706803825245,-0.029888945145651397,0.029080235762485827,0.05809886660741944,0.029507692920711856,1.0,0.4673155496999981,0.5800672885599579,0.513116672269267,-0.0016513821857721946,-0.0011356508421941313,-0.024303022496207357,0.003664000513994787,0.3659406951934695,-0.026685902984982544,-0.00813049498776715,-0.008476103617735162,-0.002464038115675496,-0.006681260400958713,-0.0006780176127361202,0.010031902941442714,0.8005468544560587,0.13152242647355866,0.8839848833700729,0.6945930492676342,-0.007458664813095869,0.07918766423124958,0.011170078293622387,0.3466598890081971,-0.010581912913767666,0.3626908087451618,0.06878993571376939,-0.023880018571799774,-0.023682420836537304,-0.023657596436271564
product_length_cm,0.14622674291435786,0.1465463550043661,0.2609676828653623,0.008467540576708055,0.1654016574218453,0.12527282230481393,-0.01878299222227693,0.05665480997973229,0.0006590796569040094,0.05031482483686232,0.4673155496999981,1.0,0.19577932448731408,0.5483069258423237,-0.019955765182621616,-0.011320168746650665,-0.05153578964344871,-0.08242144743535977,0.1653412629803527,-0.04888859883854173,-0.003582853728732268,-0.004389872238407356,-0.006477787489991662,-0.0012483092386893833,0.0008359741471929627,0.007908689252430703,0.5463987492565398,-0.05076557733512675,0.41331937166957866,0.4764486147942194,-0.0027757186378860855,0.06350449064326709,0.009134463217865542,0.15800151830524375,0.0007106706437305609,0.16313365979653444,0.04317192375731278,0.0008340780070928072,-0.042924926857970155,-0.0361120215919955
product_height_cm,0.2283012021480622,0.23322853091812887,0.33558971599306175,0.017861898870256625,0.2510761053106355,0.13728863488240978,-0.022560440552827146,-0.017620812909390864,0.07370062998827381,-0.024216015242124675,0.5800672885599579,0.19577932448731408,1.0,0.2885736080033328,-0.008119781695669856,-0.007913492521932807,-0.044734888539745075,-0.006781559847325771,0.2510878808615917,-0.036312687313701575,0.014457992873731739,0.01392505632719393,-0.002944962405188983,0.015346288873353629,0.0042236416828913955,0.006379400346404411,0.723657700976669,-0.0717240975933012,0.5267620605446519,0.6422201587020422,0.0003980820516750501,0.05842178371945309,-0.0023673584487145017,0.2365540441120749,-0.017325702172760214,0.24949432411220926,0.054787059921752077,-0.04642459295574263,-0.021519960832264387,-0.018217245842797058
product_width_cm,0.16778839440443197,0.17260018775027494,0.26517416565465124,-0.004374232974155556,0.18639179419456356,0.14913606571971555,-0.012362603330361493,0.06059680305297646,-0.06057655311698888,0.014118210582496694,0.513116672269267,0.5483069258423237,0.2885736080033328,1.0,-0.023304094907928834,-0.0063708727569116,0.004440112673065769,-0.0400457375440567,0.18635552173836015,-0.056303964332187706,0.0012927703963733213,0.0012663831827623125,0.003771964843817075,0.0028145406096156994,0.003936167058674806,0.0089198396540088,0.6319414087920886,-0.05785694310076532,0.4469854323674997,0.5428921950647885,-0.019178370082182785,0.04022008265224669,-2.818967266633386e-05,0.1777514690523252,0.0022452993228912694,0.18411679763533945,0.06986366515790772,0.042368814066364016,-0.05619178741220533,-0.042928298414069685
customer_lat,0.050641834315021714,0.054055685292255524,0.21708803357884401,-0.017227145189720572,0.06972436201828308,0.06355698465544982,-0.0432007663596854,0.013157851108458506,0.032318001009976845,0.020592113764087344,-0.0016513821857721946,-0.019955765182621616,-0.008119781695669856,-0.023304094907928834,1.0,0.45051786344049977,0.0863175549593193,0.08570785221815744,0.06970509684905031,-0.02094585373783041,0.002692909507721963,0.0016700006017389497,-0.00925341851056544,0.0042703120672215955,0.005978110356113745,-0.01274525962129562,-0.01044101733082062,0.009437325041084786,-0.0017070672058960236,-0.009881195723111146,0.7021627385042416,0.25376771345509685,-0.01170675452042676,0.0640456542217466,-0.010977084487602417,0.07011286584315249,0.025298569951475787,0.014452610013525758,-0.0188856200977685,-0.0130486818975259
customer_lng,0.01380628486601184,0.016153380993878218,0.06982441536630135,-0.015087398159031333,0.020019595601326694,0.039889086260537,-0.05120068004279083,-0.0017101532408341673,0.00604909861670644,0.0012410853579738778,-0.0011356508421941313,-0.011320168746650665,-0.007913492521932807,-0.0063708727569116,0.45051786344049977,1.0,0.07661610096355857,0.08248268180716614,0.02004838498433148,-0.008575477714047137,0.012533065160854917,0.01205862158368234,-0.003262689777240062,0.012346731760308956,0.006422718102652105,-0.006093022739606117,-0.00886037426996257,0.006589201440889448,-0.00229708030511004,-0.0103086477706645,0.22773486653354724,0.11058157540635997,0.04982613947347956,0.01987208362817764,-0.0002883655727937206,0.020156402220838074,0.025349826640660357,0.019463716878305195,0.0005509634740781443,0.0037140016676343707
seller_lat,0.018017044198423256,0.019192160561609075,0.03006228570962508,-0.00392763634399964,0.020185820673002192,0.011693875522631066,-0.011292136929173628,0.0002251792643647124,0.019358510562247164,-0.08394910728301441,-0.024303022496207357,-0.05153578964344871,-0.044734888539745075,0.004440112673065769,0.0863175549593193,0.07661610096355857,1.0,0.430907952264317,0.02016672400832155,0.02222500864563773,0.0015338793197310035,0.0015098267575746243,-0.0029604030428769133,-0.00019009412451575873,-0.005219064497356417,-0.0018128381980086752,-0.042231970216970505,0.00801657243475593,-0.02083079564042611,-0.03543149945781291,0.11607656554428318,0.05229798492283917,0.017064170112568437,0.020479972370299148,-0.005160007576001555,0.020174674016162904,0.08860781288482376,0.14570823177669026,0.024049609877107293,0.02505856222847721
seller_lng,0.040477245754799586,0.0454369650155042,-0.010461763476136237,-0.01216252814082382,0.03765087958771926,-0.006627673905381588,0.009550474137601125,-0.057336968155071305,0.08095501077381119,0.036090722844804246,0.003664000513994787,-0.08242144743535977,-0.006781559847325771,-0.0400457375440567,0.08570785221815744,0.08248268180716614,0.430907952264317,1.0,0.03764673628953427,0.014694625966232215,0.004279146025721307,0.003827770079924866,-0.00512775505349292,0.0015226308820145077,-0.002815089111593418,-0.0046563738074891685,-0.023718747720379303,0.0030728569504118674,0.0058889705870481404,-0.018712219625896212,-0.02784696551654186,-0.042526919336625495,0.022321813180303914,0.03458605637450923,-0.013541778328571345,0.03773823112032186,0.06186522781806917,0.016350795709841052,0.0070133501778612516,0.0036693824984215663
total_order_value,0.995991493252692,0.9212118202772622,0.4926034954334271,0.18915458937976506,0.9999868868347812,0.3198614146516214,-0.04545418465683853,0.012415791915717844,0.1854606067400925,0.033529471003452826,0.3659406951934695,0.1653412629803527,0.2510878808615917,0.18635552173836015,0.06970509684905031,0.02004838498433148,0.02016672400832155,0.03764673628953427,1.0,0.000141421020397019,0.0022772702278021618,0.0014896275822473511,-0.008346117218674664,0.0029959708281373566,-0.0027437391614812618,0.004343446834309354,0.3297965717173488,0.043976312206302506,0.3933607790696396,0.358507369162803,0.10568838703198487,0.06739851983268624,-0.017848052303483707,0.9523114509688756,-0.014586507930316017,0.9943211731271258,0.08929005210405407,-0.060620640222260935,-0.0016246242326610368,0.0023289520296943247
order_purchase_year,-0.0027160489451803,-0.0028778506608249797,0.027864929378295357,0.00021086479557791966,0.00011945547836995378,-0.05888592609554648,-0.003108560520463609,0.022200986098415483,0.03810115163361128,-0.0030556763874760016,-0.026685902984982544,-0.04888859883854173,-0.036312687313701575,-0.056303964332187706,-0.02094585373783041,-0.008575477714047137,0.02222500864563773,0.014694625966232215,0.000141421020397019,1.0,-0.5511325909781408,-0.5498577679146888,-0.04477894580166929,-0.5283047986552987,-0.01806438821176631,-0.003204115395022976,-0.051594780091751155,-0.003816452026981093,-0.02250871114677488,-0.04283928426989736,-0.036516247705934556,-0.050173338437738954,0.06784875369337333,-0.00559085167501903,-0.028848502458928508,8.517752851547816e-06,-0.04781348193715335,0.012087146381215693,0.7169086733557353,0.5084690801367352
order_purchase_month,0.001992858528663579,0.00100653918965397,0.0038000658022465245,0.0004572966266776305,0.0022219088298161727,0.030845988098041052,0.031587455532844366,0.010630638630960731,-0.013743651607456463,0.012585766897853816,-0.00813049498776715,-0.003582853728732268,0.014457992873731739,0.0012927703963733213,0.002692909507721963,0.012533065160854917,0.0015338793197310035,0.004279146025721307,0.0022772702278021618,-0.5511325909781408,1.0,0.9958411478187519,0.0011201766632469913,0.969832464617246,0.021038174896182798,-0.0037724563474359056,0.0020356207436522202,0.0025332568939039784,-0.008674133518600188,0.0006739804346639601,-0.002591858550438631,-0.05388343944892379,0.02784140751050599,0.0028758304215913116,0.0006462400609983554,0.0023976873364089583,0.030426470512323313,-0.00557061929440623,-0.04398944221083151,0.06698784416316596
order_purchase_week,0.0012441465149308922,1.4856541677513272e-05,0.0030640255577162132,0.0017267265584987525,0.00143553099892703,0.03001679138038284,0.03154316151095356,0.011654266489467387,-0.013783029399193196,0.012757806615185977,-0.008476103617735162,-0.004389872238407356,0.01392505632719393,0.0012663831827623125,0.0016700006017389497,0.01205862158368234,0.0015098267575746243,0.003827770079924866,0.0014896275822473511,-0.5498577679146888,0.9958411478187519,1.0,0.08966070067674506,0.967405560408956,-0.0011715493972742422,-0.005057525023620364,0.0015196020549509389,0.002644891173952255,-0.008882262560736662,0.000401223184261821,-0.003965476190837576,-0.05388572202323809,0.030969275926786218,0.002078075527779358,0.0006722864729508224,0.001639526304070213,0.03034833169297153,-0.004740421307537114,-0.039259239537360685,0.07085567747720778
order_purchase_day,-0.007883552563747363,-0.010007726639131385,-0.008286198119946008,0.011453200959796293,-0.00833430360132892,0.002066764415035316,0.000820661683397731,0.009548086958842784,-0.004190972644293787,0.0028925582210513586,-0.002464038115675496,-0.006477787489991662,-0.002944962405188983,0.003771964843817075,-0.00925341851056544,-0.003262689777240062,-0.0029604030428769133,-0.00512775505349292,-0.008346117218674664,-0.04477894580166929,0.0011201766632469913,0.08966070067674506,1.0,0.015642397337761592,-0.024927684138253855,-0.012300599504002764,-0.0021473529404882137,0.0014053870423545133,-0.0020855791724099415,-0.0012565084186981668,-0.012364915669660508,-0.00048557548659897257,0.02457865682296398,-0.008572415731558352,0.000696188054921864,-0.00804859637896364,0.0028205629077644773,0.006594575408897955,0.012013737010814601,0.017554610238778533
order_purchase_quarter,0.002702851888251577,0.0013316269786263469,0.004210785469197097,0.0018888300720214138,0.0029474405659774953,0.027876837138781065,0.03844417784420105,0.01190986601486392,-0.013779518747767621,0.01550769453414469,-0.006681260400958713,-0.0012483092386893833,0.015346288873353629,0.0028145406096156994,0.0042703120672215955,0.012346731760308956,-0.00019009412451575873,0.0015226308820145077,0.0029959708281373566,-0.5283047986552987,0.969832464617246,0.967405560408956,0.015642397337761592,1.0,0.014027172480751592,-0.0020038044837818385,0.003621596996230809,0.003358326870778559,-0.007351455440921583,0.002099408015189142,-0.0007781483801322529,-0.066911651214633,0.021803709254458518,0.0034454995288509295,0.0006197870374338979,0.0030565714910690033,0.02905385839354602,-0.006422366605180408,-0.029284787374655057,0.07442937967520015
order_purchase_weekday,-0.002625022164751422,-0.00024448039720062085,-0.002399587881312658,-0.011766198484811464,-0.0027357541609980946,0.02620671955260591,-0.009420763771869118,-0.003908446812908207,-0.0066860745000418675,0.0007997448969581899,-0.0006780176127361202,0.0008359741471929627,0.0042236416828913955,0.003936167058674806,0.005978110356113745,0.006422718102652105,-0.005219064497356417,-0.002815089111593418,-0.0027437391614812618,-0.01806438821176631,0.021038174896182798,-0.0011715493972742422,-0.024927684138253855,0.014027172480751592,1.0,0.009446869885123005,0.0038451229967084244,0.0005217591008325666,-0.005673121971880886,-0.0027354774309140137,0.009141741016141696,0.028832641179927784,-0.031163832008445424,-0.00342074791687255,-0.000107635172021829,-0.0029040774285330863,0.008358941009401063,-0.0028448037717535685,0.002554049846260207,0.03592768931486628
order_purchase_hour,0.004538310996443659,0.0077869766584734434,7.434081377798823e-05,-0.00977025576204848,0.004346057461740895,0.013621994776145643,0.003934026018930221,8.850415976340481e-05,-0.004952296462985038,0.0025149481520157367,0.010031902941442714,0.007908689252430703,0.006379400346404411,0.0089198396540088,-0.01274525962129562,-0.006093022739606117,-0.0018128381980086752,-0.0046563738074891685,0.004343446834309354,-0.003204115395022976,-0.0037724563474359056,-0.005057525023620364,-0.012300599504002764,-0.0020038044837818385,0.009446869885123005,1.0,0.010517252213824088,0.002979881649401127,0.006726247806484703,0.0062057642285174176,-0.0017229125917887264,0.0015021987721824358,0.022389088638927104,0.0005442715101563014,-0.009466225560234473,0.00442574858806782,0.013078850606764104,-0.000312221728253294,-0.006994648642686728,-0.00763744098560361
product_volume_cm3,0.2951174698961271,0.30409142821283786,0.4869955782574148,0.002105721369655662,0.3298427657990505,0.17845980768431421,-0.028655629845145313,0.025285552760942267,0.019537918080938983,0.01834030399759634,0.8005468544560587,0.5463987492565398,0.723657700976669,0.6319414087920886,-0.01044101733082062,-0.00886037426996257,-0.042231970216970505,-0.023718747720379303,0.3297965717173488,-0.051594780091751155,0.0020356207436522202,0.0015196020549509389,-0.0021473529404882137,0.003621596996230809,0.0038451229967084244,0.010517252213824088,1.0,-0.048282348202874796,0.7118204044219199,0.8730653615443899,-0.010901597415951621,0.07012420679557237,0.010495151726356832,0.31211167047212557,-0.009916802200457141,0.3272168350471846,0.06948438540420901,-0.04126200213990654,-0.04496483361083227,-0.03799594651474629
product_density_g_cm3,0.04199538897982208,0.034417325490229515,0.03922055275173068,-0.00045589808087726207,0.04397042978699225,0.025995935225376694,-0.0004528313210509083,0.006969459640411372,0.02096867692692911,0.012270910545904143,0.13152242647355866,-0.05076557733512675,-0.0717240975933012,-0.05785694310076532,0.009437325041084786,0.006589201440889448,0.00801657243475593,0.0030728569504118674,0.043976312206302506,-0.003816452026981093,0.0025332568939039784,0.002644891173952255,0.0014053870423545133,0.003358326870778559,0.0005217591008325666,0.002979881649401127,-0.048282348202874796,1.0,0.12751408348064233,-0.04302229214978226,0.0011681268794200748,0.014599148526446797,0.008188980186619458,0.0417114679746005,-0.0006900173427191008,0.04422364115886147,0.020387465646566776,0.0025281345303483156,0.0028188205835633262,0.00031046470445136425
total_weight_g,0.3467140624004203,0.27415781474860157,0.6322633931987248,0.22423983453799368,0.39340465756301607,0.18788718653802725,-0.054050923910132706,0.016289618378766756,0.048638634837172685,0.009351329634220201,0.8839848833700729,0.41331937166957866,0.5267620605446519,0.4469854323674997,-0.0017070672058960236,-0.00229708030511004,-0.02083079564042611,0.0058889705870481404,0.3933607790696396,-0.02250871114677488,-0.008674133518600188,-0.008882262560736662,-0.0020855791724099415,-0.007351455440921583,-0.005673121971880886,0.006726247806484703,0.7118204044219199,0.12751408348064233,1.0,0.8174631312212104,-0.009713784454020023,0.07003928789736279,0.0029266193109017766,0.3755498246866852,-0.00534897983689187,0.3893084945207755,0.07511806868211152,-0.020725396416543692,-0.018614677488232853,-0.0192129166197174
total_volume_cm3,0.3101833806241469,0.23318901932405078,0.6327721887877713,0.2783880221764512,0.35853496917083083,0.17041853384011693,-0.058295052371745704,0.013768254935174784,0.011699303895256339,-0.0013640322959758107,0.6945930492676342,0.4764486147942194,0.6422201587020422,0.5428921950647885,-0.009881195723111146,-0.0103086477706645,-0.03543149945781291,-0.018712219625896212,0.358507369162803,-0.04283928426989736,0.0006739804346639601,0.000401223184261821,-0.0012565084186981668,0.002099408015189142,-0.0027354774309140137,0.0062057642285174176,0.8730653615443899,-0.04302229214978226,0.8174631312212104,1.0,-0.012985795637803482,0.06038818553819915,0.0018429978593650818,0.34319668603801623,-0.002557077168346418,0.35441845762475915,0.07908521648170386,-0.029563325097267886,-0.035279300792090976,-0.030582327724265813
